Content,Player,Team,Agents Played,A,ACS,ADR,APR,CL,CL%,D,FD,FDPR,FK,FKPR,HS%,K,K:D,KAST,KMax,KPR,R2.0,Rnd
Player Kamisseq from team Ramboot Club has the following stats: R2.0: 1.07 ACS: 208.79 K:D: 1.06 KAST: 70.88 ADR: 138.77 KPR: 0.74 APR: 0.29 FKPR: 0.1 FDPR: 0.08 HS%: 36.33 CL%: 13.16 KMax: 27.14 K: 420.05 D: 394.13 A: 164.74 FK: 55.97 FD: 46.83 Rnd: 1058,Kamisseq,Ramboot Club,"omen, chamber, sova",164.74,208.79,138.77,0.29,,13.16,394.13,46.83,0.08,55.97,0.1,36.33,420.05,1.06,70.88,27.14,0.74,1.07,1058
Player BALLI from team HGE Esport has the following stats: R2.0: 1.08 ACS: 206.7 K:D: 1.04 KAST: 72.08 ADR: 137.71 KPR: 0.74 APR: 0.29 FKPR: 0.1 FDPR: 0.05 HS%: 32.92 CL%: 13.96 KMax: 22.89 K: 167.74 D: 161.11 A: 66.19 FK: 22.77 FD: 11.89 Rnd: 453,BALLI,HGE Esport,"sova, kayo, killjoy",66.19,206.7,137.71,0.29,,13.96,161.11,11.89,0.05,22.77,0.1,32.92,167.74,1.04,72.08,22.89,0.74,1.08,453
Player Ginilson from team Agropesca Jacare has the following stats: R2.0: 1.1 ACS: 239.8 K:D: 1.11 KAST: 72.0 ADR: 156.6 KPR: 0.84 APR: 0.3 FKPR: 0.2 FDPR: 0.15 HS%: 28.0 CL%: 13.0 KMax: 29.0 K: 224.0 D: 202.0 A: 80.0 FK: 54.0 FD: 39.0 Rnd: 267,Ginilson,Agropesca Jacare,"sova, omen, cypher",80.0,239.8,156.6,0.3,,13.0,202.0,39.0,0.15,54.0,0.2,28.0,224.0,1.11,72.0,29.0,0.84,1.1,267
Player SwayZ from team Torch has the following stats: R2.0: 1.1 ACS: 231.6 K:D: 1.14 KAST: 72.0 ADR: 155.5 KPR: 0.85 APR: 0.2 FKPR: 0.11 FDPR: 0.12 HS%: 28.0 CL%: 8.0 KMax: 33.0 K: 199.0 D: 174.0 A: 48.0 FK: 27.0 FD: 28.0 Rnd: 235,SwayZ,Torch,"chamber, jett, raze",48.0,231.6,155.5,0.2,,8.0,174.0,28.0,0.12,27.0,0.11,28.0,199.0,1.14,72.0,33.0,0.85,1.1,235
Player Famsii from team GIANTX has the following stats: R2.0: 1.05 ACS: 240.41 K:D: 1.06 KAST: 69.53 ADR: 154.41 KPR: 0.83 APR: 0.21 FKPR: 0.19 FDPR: 0.16 HS%: 24.27 CL%: 17.4 KMax: 29.0 K: 438.99 D: 411.86 A: 108.47 FK: 102.53 FD: 85.86 Rnd: 1056,Famsii,GIANTX,"jett, raze, chamber",108.47,240.41,154.41,0.21,,17.4,411.86,85.86,0.16,102.53,0.19,24.27,438.99,1.06,69.53,29.0,0.83,1.05,1056
Player TERNOS from team CrewX has the following stats: R2.0: 1.09 ACS: 204.0 K:D: 1.09 KAST: 75.0 ADR: 136.8 KPR: 0.74 APR: 0.25 FKPR: 0.1 FDPR: 0.05 HS%: 36.0 CL%: 16.0 KMax: 36.0 K: 191.0 D: 176.0 A: 63.0 FK: 25.0 FD: 14.0 Rnd: 257,TERNOS,CrewX,"sova, sage, killjoy",63.0,204.0,136.8,0.25,,16.0,176.0,14.0,0.05,25.0,0.1,36.0,191.0,1.09,75.0,36.0,0.74,1.09,257
Player ngiN from team Angry Titans has the following stats: R2.0: 1.09 ACS: 218.9 K:D: 1.15 KAST: 71.0 ADR: 143.5 KPR: 0.77 APR: 0.18 FKPR: 0.08 FDPR: 0.06 HS%: 23.0 CL%: 13.0 KMax: 28.0 K: 354.0 D: 309.0 A: 82.0 FK: 38.0 FD: 28.0 Rnd: 459,ngiN,Angry Titans,"killjoy, viper, cypher",82.0,218.9,143.5,0.18,,13.0,309.0,28.0,0.06,38.0,0.08,23.0,354.0,1.15,71.0,28.0,0.77,1.09,459
Player AKIMB0 from team who cars? has the following stats: R2.0: 1.09 ACS: 188.0 K:D: 1.04 KAST: 71.0 ADR: 122.8 KPR: 0.69 APR: 0.33 FKPR: 0.05 FDPR: 0.04 HS%: 33.0 CL%: 10.0 KMax: 26.0 K: 316.0 D: 303.0 A: 150.0 FK: 25.0 FD: 20.0 Rnd: 461,AKIMB0,who cars?,"viper, omen, raze",150.0,188.0,122.8,0.33,,10.0,303.0,20.0,0.04,25.0,0.05,33.0,316.0,1.04,71.0,26.0,0.69,1.09,461
Player ACHRF from team Onyx Ravens has the following stats: R2.0: 1.02 ACS: 199.81 K:D: 0.98 KAST: 71.64 ADR: 134.34 KPR: 0.68 APR: 0.31 FKPR: 0.07 FDPR: 0.09 HS%: 24.66 CL%: 11.7 KMax: 25.34 K: 513.7 D: 530.73 A: 230.27 FK: 53.9 FD: 62.88 Rnd: 1379,ACHRF,Onyx Ravens,"sova, breach, skye",230.27,199.81,134.34,0.31,,11.7,530.73,62.88,0.09,53.9,0.07,24.66,513.7,0.98,71.64,25.34,0.68,1.02,1379
Player al1en from team VCL REJECTS 2.0 has the following stats: R2.0: 1.01 ACS: 196.5 K:D: 0.98 KAST: 73.5 ADR: 128.86 KPR: 0.68 APR: 0.39 FKPR: 0.07 FDPR: 0.07 HS%: 20.94 CL%: 11.95 KMax: 26.84 K: 327.32 D: 319.3 A: 190.01 FK: 29.28 FD: 28.39 Rnd: 775,al1en,VCL REJECTS 2.0,"omen, viper, astra",190.01,196.5,128.86,0.39,,11.95,319.3,28.39,0.07,29.28,0.07,20.94,327.32,0.98,73.5,26.84,0.68,1.01,775
Player ip0TT from team Galakticos has the following stats: R2.0: 1.04 ACS: 228.91 K:D: 1.1 KAST: 71.63 ADR: 149.32 KPR: 0.8 APR: 0.17 FKPR: 0.18 FDPR: 0.15 HS%: 29.73 CL%: 12.22 KMax: 31.59 K: 901.24 D: 824.97 A: 190.54 FK: 201.32 FD: 170.85 Rnd: 1990,ip0TT,Galakticos,"jett, raze, killjoy",190.54,228.91,149.32,0.17,,12.22,824.97,170.85,0.15,201.32,0.18,29.73,901.24,1.1,71.63,31.59,0.8,1.04,1990
Player woddy from team Cumberland Phoenix has the following stats: R2.0: 0.95 ACS: 176.32 K:D: 0.93 KAST: 67.88 ADR: 117.92 KPR: 0.63 APR: 0.26 FKPR: 0.07 FDPR: 0.09 HS%: 31.7 CL%: 12.35 KMax: 27.24 K: 619.03 D: 683.7 A: 231.51 FK: 70.41 FD: 86.01 Rnd: 1407,woddy,Cumberland Phoenix,"sova, fade, breach",231.51,176.32,117.92,0.26,,12.35,683.7,86.01,0.09,70.41,0.07,31.7,619.03,0.93,67.88,27.24,0.63,0.95,1407
Player guuih from team Stellae Gaming has the following stats: R2.0: 1.04 ACS: 184.99 K:D: 1.06 KAST: 71.47 ADR: 126.41 KPR: 0.66 APR: 0.2 FKPR: 0.07 FDPR: 0.06 HS%: 26.07 CL%: 12.07 KMax: 23.33 K: 479.86 D: 455.37 A: 144.79 FK: 54.74 FD: 44.74 Rnd: 1451,guuih,Stellae Gaming,"killjoy, viper, cypher",144.79,184.99,126.41,0.2,,12.07,455.37,44.74,0.06,54.74,0.07,26.07,479.86,1.06,71.47,23.33,0.66,1.04,1451
