agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
viper,(74) 29%,1516,1.24,224.6,1.38,147.2,78%,0.81,0.29,0.08,0.07,1221,887,442,123,110,proxima,https://www.vlr.gg/player/19363/proxima?timespan=all
omen,(65) 25%,1401,1.18,208.5,1.26,137.8,77%,0.77,0.37,0.08,0.06,1079,857,515,110,87,proxima,https://www.vlr.gg/player/19363/proxima?timespan=all
skye,(56) 22%,1105,1.14,200.6,1.24,132.4,78%,0.75,0.31,0.08,0.06,831,668,341,87,68,proxima,https://www.vlr.gg/player/19363/proxima?timespan=all
,,,,,,,,,,,,,,,,,Kuripuuya,https://www.vlr.gg/player/19356/kuripuuya?timespan=all
viper,(71) 28%,1511,1.03,203.7,1.02,135.6,71%,0.70,0.29,0.10,0.10,1063,1043,445,153,151,Kuripuuya,https://www.vlr.gg/player/19356/kuripuuya?timespan=all
astra,(46) 18%,926,1.16,213.0,1.18,140.0,76%,0.77,0.33,0.09,0.07,709,602,309,86,61,Kuripuuya,https://www.vlr.gg/player/19356/kuripuuya?timespan=all
jett,(45) 18%,913,1.17,253.4,1.24,156.2,73%,0.87,0.18,0.22,0.17,797,645,167,203,157,Kuripuuya,https://www.vlr.gg/player/19356/kuripuuya?timespan=all
,,,,,,,,,,,,,,,,,bella,https://www.vlr.gg/player/28819/bella?timespan=all
chamber,(13) 76%,273,1.13,232.5,1.22,148.3,68%,0.84,0.13,0.15,0.10,230,188,35,42,27,bella,https://www.vlr.gg/player/28819/bella?timespan=all
sova,(2) 12%,41,0.86,194.5,0.79,141.6,63%,0.66,0.22,0.05,0.15,27,34,9,2,6,bella,https://www.vlr.gg/player/28819/bella?timespan=all
viper,(2) 12%,31,1.15,264.5,1.45,144.4,74%,0.94,0.19,0.19,0.16,29,20,6,6,5,bella,https://www.vlr.gg/player/28819/bella?timespan=all
,,,,,,,,,,,,,,,,,Bless,https://www.vlr.gg/player/29447/bless?timespan=all
killjoy,(24) 29%,487,0.96,194.8,0.95,135.6,68%,0.67,0.15,0.07,0.09,328,347,71,35,42,Bless,https://www.vlr.gg/player/29447/bless?timespan=all
cypher,(21) 25%,437,1.20,213.0,1.31,143.0,74%,0.78,0.20,0.10,0.05,340,260,89,44,21,Bless,https://www.vlr.gg/player/29447/bless?timespan=all
sova,(17) 20%,345,1.10,192.5,1.16,134.4,75%,0.72,0.24,0.06,0.05,248,213,84,21,17,Bless,https://www.vlr.gg/player/29447/bless?timespan=all
,,,,,,,,,,,,,,,,,Logic,https://www.vlr.gg/player/21885/logic?timespan=all
killjoy,(33) 16%,676,1.09,221.8,1.17,151.5,75%,0.79,0.19,0.09,0.08,534,457,129,59,51,Logic,https://www.vlr.gg/player/21885/logic?timespan=all
omen,(31) 15%,652,0.97,177.9,0.93,115.3,73%,0.61,0.39,0.05,0.06,397,429,252,34,39,Logic,https://www.vlr.gg/player/21885/logic?timespan=all
sova,(30) 14%,564,1.09,219.8,1.11,139.7,74%,0.74,0.25,0.07,0.06,416,375,141,42,35,Logic,https://www.vlr.gg/player/21885/logic?timespan=all
,,,,,,,,,,,,,,,,,Sekkya,https://www.vlr.gg/player/29132/sekkya?timespan=all
