agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
cypher,(158) 41%,3278,1.00,198.3,1.06,130.3,71%,0.71,0.24,0.07,0.07,2328,2200,799,238,238,M1kE,https://www.vlr.gg/player/11106/m1ke?timespan=all
killjoy,(86) 22%,1697,1.12,218.8,1.20,149.5,73%,0.77,0.19,0.08,0.06,1300,1081,320,131,110,M1kE,https://www.vlr.gg/player/11106/m1ke?timespan=all
sage,(33) 9%,683,0.96,191.0,1.00,125.5,69%,0.68,0.34,0.05,0.05,463,465,233,37,37,M1kE,https://www.vlr.gg/player/11106/m1ke?timespan=all
,,,,,,,,,,,,,,,,,sutecas,https://www.vlr.gg/player/5244/sutecas?timespan=all
omen,(81) 42%,1623,1.06,199.8,1.13,128.4,74%,0.73,0.31,0.08,0.07,1187,1050,497,121,117,sutecas,https://www.vlr.gg/player/5244/sutecas?timespan=all
astra,(37) 19%,731,1.01,187.1,1.06,121.7,72%,0.68,0.26,0.08,0.08,499,469,193,55,61,sutecas,https://www.vlr.gg/player/5244/sutecas?timespan=all
viper,(26) 13%,574,1.05,195.5,1.02,132.0,73%,0.68,0.35,0.07,0.08,389,380,199,38,44,sutecas,https://www.vlr.gg/player/5244/sutecas?timespan=all
,,,,,,,,,,,,,,,,,dylusion,https://www.vlr.gg/player/5238/dylusion?timespan=all
sova,(112) 78%,2350,0.90,179.7,0.82,119.9,68%,0.59,0.33,0.08,0.09,1381,1693,778,187,221,dylusion,https://www.vlr.gg/player/5238/dylusion?timespan=all
skye,(9) 6%,197,0.74,154.7,0.67,102.4,65%,0.52,0.21,0.06,0.10,102,152,42,12,20,dylusion,https://www.vlr.gg/player/5238/dylusion?timespan=all
killjoy,(6) 4%,121,0.84,170.0,0.84,108.0,66%,0.60,0.17,0.12,0.13,72,86,20,15,16,dylusion,https://www.vlr.gg/player/5238/dylusion?timespan=all
,,,,,,,,,,,,,,,,,Karl,https://www.vlr.gg/player/7410/karl?timespan=all
sova,(93) 61%,1895,1.15,209.8,1.15,137.9,77%,0.72,0.34,0.06,0.04,1373,1190,645,107,84,Karl,https://www.vlr.gg/player/7410/karl?timespan=all
skye,(22) 14%,451,1.05,197.0,1.09,129.2,71%,0.73,0.27,0.06,0.07,330,304,123,28,32,Karl,https://www.vlr.gg/player/7410/karl?timespan=all
breach,(20) 13%,429,1.01,193.6,0.99,120.3,72%,0.70,0.40,0.04,0.05,300,303,173,19,20,Karl,https://www.vlr.gg/player/7410/karl?timespan=all
,,,,,,,,,,,,,,,,,Moji,https://www.vlr.gg/player/4868/moji?timespan=all
sova,(47) 41%,1009,0.95,199.4,0.96,133.2,68%,0.68,0.32,0.07,0.06,691,722,323,68,62,Moji,https://www.vlr.gg/player/4868/moji?timespan=all
skye,(25) 22%,540,0.86,180.0,0.87,112.4,68%,0.63,0.22,0.08,0.06,338,390,118,41,34,Moji,https://www.vlr.gg/player/4868/moji?timespan=all
astra,(12) 10%,231,1.02,176.1,0.99,117.1,73%,0.64,0.31,0.05,0.06,148,149,71,12,14,Moji,https://www.vlr.gg/player/4868/moji?timespan=all
,,,,,,,,,,,,,,,,,ERRRRA,https://www.vlr.gg/player/8138/errrra?timespan=all
omen,(42) 59%,868,1.49,191.9,1.07,124.2,80%,0.69,0.23,0.07,0.07,596,557,198,59,58,ERRRRA,https://www.vlr.gg/player/8138/errrra?timespan=all
astra,(10) 14%,188,0.95,166.2,1.02,101.4,69%,0.60,0.26,0.06,0.07,113,111,49,11,13,ERRRRA,https://www.vlr.gg/player/8138/errrra?timespan=all
brimstone,(8) 11%,162,,187.1,1.18,115.1,,0.73,0.19,0.04,0.07,119,101,31,7,12,ERRRRA,https://www.vlr.gg/player/8138/errrra?timespan=all
,,,,,,,,,,,,,,,,,Amilwa,https://www.vlr.gg/player/1249/amilwa?timespan=all
sova,(112) 45%,2358,1.06,190.3,1.05,126.5,76%,0.66,0.31,0.07,0.07,1567,1495,740,154,155,Amilwa,https://www.vlr.gg/player/1249/amilwa?timespan=all
