agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
astra,(80) 28%,1636,1.11,201.7,1.16,130.5,75%,0.73,0.34,0.08,0.08,1194,1033,558,136,129,Myth,https://www.vlr.gg/player/1771/myth?timespan=all
sova,(59) 21%,1227,1.02,208.5,1.01,130.2,71%,0.72,0.34,0.09,0.09,881,869,412,113,110,Myth,https://www.vlr.gg/player/1771/myth?timespan=all
omen,(32) 11%,653,1.10,208.5,1.12,129.3,75%,0.73,0.39,0.09,0.09,477,426,257,58,54,Myth,https://www.vlr.gg/player/1771/myth?timespan=all
,,,,,,,,,,,,,,,,,demek,https://www.vlr.gg/player/9556/demek?timespan=all
jett,(116) 51%,2451,0.94,208.8,0.98,132.6,68%,0.74,0.14,0.19,0.18,1825,1857,335,457,442,demek,https://www.vlr.gg/player/9556/demek?timespan=all
raze,(75) 33%,1502,1.05,236.5,1.11,152.2,71%,0.82,0.16,0.20,0.16,1238,1114,243,302,236,demek,https://www.vlr.gg/player/9556/demek?timespan=all
neon,(12) 5%,272,0.84,219.4,0.93,135.1,66%,0.76,0.18,0.18,0.25,208,224,50,48,67,demek,https://www.vlr.gg/player/9556/demek?timespan=all
,,,,,,,,,,,,,,,,,Reality,https://www.vlr.gg/player/23918/reality?timespan=all
killjoy,(37) 28%,756,0.95,198.6,0.98,135.3,68%,0.67,0.16,0.09,0.11,508,518,123,70,85,Reality,https://www.vlr.gg/player/23918/reality?timespan=all
chamber,(29) 22%,614,1.05,232.5,1.12,150.2,68%,0.81,0.14,0.20,0.15,495,441,87,122,92,Reality,https://www.vlr.gg/player/23918/reality?timespan=all
cypher,(24) 18%,521,0.92,183.8,0.93,121.6,68%,0.64,0.23,0.10,0.11,336,362,120,51,58,Reality,https://www.vlr.gg/player/23918/reality?timespan=all
,,,,,,,,,,,,,,,,,Limpe,https://www.vlr.gg/player/12103/limpe?timespan=all
jett,(93) 32%,1955,0.97,225.8,1.04,142.8,67%,0.80,0.14,0.21,0.19,1557,1491,283,408,367,Limpe,https://www.vlr.gg/player/12103/limpe?timespan=all
chamber,(70) 24%,1489,1.13,234.7,1.26,147.9,70%,0.85,0.13,0.20,0.13,1265,1007,201,293,195,Limpe,https://www.vlr.gg/player/12103/limpe?timespan=all
raze,(70) 24%,1476,1.03,236.5,1.06,157.3,69%,0.80,0.21,0.17,0.17,1182,1120,311,257,248,Limpe,https://www.vlr.gg/player/12103/limpe?timespan=all
,,,,,,,,,,,,,,,,,szimpli,https://www.vlr.gg/player/2525/szimpli?timespan=all
raze,(150) 45%,3177,1.12,253.5,1.14,163.3,73%,0.87,0.20,0.16,0.16,2774,2434,635,521,499,szimpli,https://www.vlr.gg/player/2525/szimpli?timespan=all
chamber,(63) 19%,1320,1.11,244.3,1.19,155.2,71%,0.87,0.14,0.20,0.13,1142,960,183,264,177,szimpli,https://www.vlr.gg/player/2525/szimpli?timespan=all
jett,(53) 16%,1044,0.99,225.8,1.07,143.9,67%,0.82,0.15,0.18,0.18,851,797,152,189,186,szimpli,https://www.vlr.gg/player/2525/szimpli?timespan=all
,,,,,,,,,,,,,,,,,Aqua,https://www.vlr.gg/player/15487/aqua?timespan=all
omen,(30) 24%,600,0.81,142.3,0.73,95.4,70%,0.52,0.36,0.04,0.07,314,430,215,22,43,Aqua,https://www.vlr.gg/player/15487/aqua?timespan=all
breach,(19) 15%,369,0.93,159.4,0.85,101.6,72%,0.56,0.47,0.05,0.04,208,244,172,18,15,Aqua,https://www.vlr.gg/player/15487/aqua?timespan=all
sova,(19) 15%,367,0.90,157.1,0.88,107.8,72%,0.57,0.26,0.04,0.10,211,239,96,15,38,Aqua,https://www.vlr.gg/player/15487/aqua?timespan=all
,,,,,,,,,,,,,,,,,Dreamas,https://www.vlr.gg/player/2316/dreamas?timespan=all
killjoy,(227) 62%,4621,1.08,214.9,1.16,140.5,72%,0.75,0.19,0.10,0.08,3477,2990,901,448,366,Dreamas,https://www.vlr.gg/player/2316/dreamas?timespan=all
raze,(31) 8%,651,,225.2,1.03,142.1,,0.74,0.23,0.15,0.10,481,466,149,100,67,Dreamas,https://www.vlr.gg/player/2316/dreamas?timespan=all
viper,(30) 8%,615,1.09,204.6,1.18,136.1,73%,0.72,0.28,0.07,0.07,442,376,174,45,46,Dreamas,https://www.vlr.gg/player/2316/dreamas?timespan=all
,,,,,,,,,,,,,,,,,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
sova,(474) 71%,9654,1.09,203.2,1.09,134.9,75%,0.69,0.34,0.07,0.07,6677,6141,3286,708,651,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
skye,(80) 12%,1617,0.93,181.7,0.92,115.7,70%,0.64,0.37,0.08,0.10,1027,1117,605,134,157,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
breach,(36) 5%,747,0.85,152.4,0.76,101.4,73%,0.52,0.41,0.05,0.08,391,515,307,38,61,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
,,,,,,,,,,,,,,,,,Padisah,https://www.vlr.gg/player/10152/padisah?timespan=all
killjoy,(94) 40%,2057,1.02,208.1,1.07,142.8,69%,0.75,0.15,0.08,0.08,1538,1442,306,164,173,Padisah,https://www.vlr.gg/player/10152/padisah?timespan=all
cypher,(41) 18%,850,1.01,207.9,1.05,138.1,71%,0.76,0.19,0.08,0.08,647,615,162,67,72,Padisah,https://www.vlr.gg/player/10152/padisah?timespan=all
viper,(23) 10%,534,1.09,221.7,1.11,143.5,72%,0.78,0.30,0.10,0.06,415,374,160,53,34,Padisah,https://www.vlr.gg/player/10152/padisah?timespan=all
,,,,,,,,,,,,,,,,,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
sova,(121) 34%,2523,0.98,186.5,0.96,125.7,71%,0.64,0.31,0.07,0.08,1615,1675,773,172,211,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
breach,(77) 21%,1584,0.98,180.2,0.94,115.2,73%,0.66,0.39,0.07,0.10,1041,1112,615,103,148,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
skye,(30) 8%,611,0.85,174.2,0.83,112.3,68%,0.62,0.31,0.08,0.10,376,455,188,51,63,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
,,,,,,,,,,,,,,,,,jotinha,https://www.vlr.gg/player/15916/jotinha?timespan=all
omen,(38) 29%,786,1.05,194.9,1.02,124.8,72%,0.69,0.43,0.08,0.10,543,532,339,63,75,jotinha,https://www.vlr.gg/player/15916/jotinha?timespan=all
viper,(28) 21%,590,0.97,200.8,0.97,132.8,67%,0.68,0.27,0.09,0.09,401,415,157,51,53,jotinha,https://www.vlr.gg/player/15916/jotinha?timespan=all
sova,(17) 13%,336,1.14,218.2,1.13,144.8,73%,0.72,0.38,0.09,0.08,242,215,129,31,27,jotinha,https://www.vlr.gg/player/15916/jotinha?timespan=all
,,,,,,,,,,,,,,,,,n9sty,https://www.vlr.gg/player/35512/n9sty?timespan=all
jett,(11) 41%,218,1.02,247.6,1.04,152.6,65%,0.87,0.11,0.23,0.18,189,182,23,50,40,n9sty,https://www.vlr.gg/player/35512/n9sty?timespan=all
killjoy,(8) 30%,158,0.96,206.9,1.01,139.2,67%,0.73,0.08,0.04,0.08,116,115,13,7,13,n9sty,https://www.vlr.gg/player/35512/n9sty?timespan=all
cypher,(6) 22%,132,1.07,231.8,1.04,154.9,66%,0.81,0.20,0.14,0.07,107,103,27,19,9,n9sty,https://www.vlr.gg/player/35512/n9sty?timespan=all
,,,,,,,,,,,,,,,,,gobera,https://www.vlr.gg/player/14950/gobera?timespan=all
jett,(153) 50%,3243,1.19,256.4,1.30,162.5,71%,0.90,0.17,0.21,0.17,2907,2244,565,695,542,gobera,https://www.vlr.gg/player/14950/gobera?timespan=all
raze,(92) 30%,1985,1.15,252.0,1.17,166.7,73%,0.84,0.22,0.18,0.14,1670,1428,431,351,282,gobera,https://www.vlr.gg/player/14950/gobera?timespan=all
chamber,(22) 7%,460,1.24,260.3,1.33,168.0,68%,0.91,0.15,0.20,0.16,417,314,71,92,72,gobera,https://www.vlr.gg/player/14950/gobera?timespan=all
,,,,,,,,,,,,,,,,,aproto,https://www.vlr.gg/player/740/aproto?timespan=all
cypher,(225) 49%,4738,1.03,213.5,1.13,133.5,72%,0.78,0.20,0.09,0.07,3687,3258,964,412,317,aproto,https://www.vlr.gg/player/740/aproto?timespan=all
viper,(58) 13%,1172,1.08,202.3,1.19,133.0,75%,0.74,0.26,0.06,0.05,867,729,305,65,58,aproto,https://www.vlr.gg/player/740/aproto?timespan=all
killjoy,(46) 10%,979,1.03,195.3,1.06,129.4,73%,0.70,0.15,0.06,0.07,686,649,142,58,67,aproto,https://www.vlr.gg/player/740/aproto?timespan=all
,,,,,,,,,,,,,,,,,Dazlly,https://www.vlr.gg/player/11857/dazlly?timespan=all
killjoy,(183) 36%,3781,1.07,221.2,1.12,149.1,73%,0.77,0.20,0.10,0.08,2923,2620,747,379,300,Dazlly,https://www.vlr.gg/player/11857/dazlly?timespan=all
cypher,(160) 31%,3352,1.00,205.8,1.04,133.8,69%,0.73,0.22,0.10,0.10,2457,2362,725,334,321,Dazlly,https://www.vlr.gg/player/11857/dazlly?timespan=all
viper,(89) 18%,1913,1.01,206.1,1.03,138.5,70%,0.72,0.28,0.08,0.09,1368,1329,540,149,164,Dazlly,https://www.vlr.gg/player/11857/dazlly?timespan=all
,,,,,,,,,,,,,,,,,neveR,https://www.vlr.gg/player/7107/never?timespan=all
jett,(48) 79%,993,1.00,217.0,1.14,137.5,72%,0.79,0.13,0.17,0.16,781,688,133,170,159,neveR,https://www.vlr.gg/player/7107/never?timespan=all
raze,(6) 10%,122,0.72,146.3,0.64,105.8,69%,0.48,0.20,0.07,0.18,59,92,24,8,22,neveR,https://www.vlr.gg/player/7107/never?timespan=all
chamber,(4) 7%,77,0.92,198.3,1.00,117.7,64%,0.68,0.04,0.22,0.19,52,52,3,17,15,neveR,https://www.vlr.gg/player/7107/never?timespan=all
,,,,,,,,,,,,,,,,,M1kE,https://www.vlr.gg/player/11106/m1ke?timespan=all
cypher,(158) 41%,3278,1.00,198.3,1.06,130.3,71%,0.71,0.24,0.07,0.07,2328,2200,799,238,238,M1kE,https://www.vlr.gg/player/11106/m1ke?timespan=all
